"archetypeID","wwthdr_pc_nat_z","runoff_nonstat_z","tws_nonstat_z","gini_z","connectivity_si_z","e_flow_z","Base_water_stress_z","hydropol_int_z","thrspecies_z","droughthaz_z","mismplastic_z","extremes_damage_z","extremes_affected_z","bod_z","wetlandloss_z","equity_risk_index_nat_z","gov_risk_index_nat_z"
1,-0.578546889131073,-0.332583923453756,-0.282320678011296,0.681796072037323,0.249725021769851,0.171523443055546,-0.228436434481267,0.0205740716102485,-0.539959338107656,0.626118901536673,0.484259796325881,-0.917476107387974,-0.00146613514267926,0.152652557560766,-0.832102374392782,-1.12628779657075,0.985611917611159
2,-0.428732722086899,0.369995889082018,0.13009960853891,0.497807907749347,0.198052503578263,0.356179044843791,-0.154183313201368,0.538100250750385,-0.546247613062876,0.88936223410047,0.624171150804479,-0.17070584294622,0.503034371962748,0.0626444012062268,0.0333157231150556,-1.19610386479902,1.00192564697524
3,0.298948983304191,-0.209250154153931,0.0287337440965751,0.482073280823345,-0.00925010129077601,0.495765769756509,0.135479823487814,0.82365970344499,0.16699011177785,1.01621368808401,0.63230975935827,-0.646016058130261,0.149858463407414,0.214575993228966,-1.11941223412392,-0.561192945142293,0.968499028462395
4,0.240422036638717,0.767207995911791,0.895123003610674,0.173302066027318,-0.0341067922105998,0.234931861251572,-0.0510391987527593,0.365279406859145,0.19343825462916,0.218116287894576,0.80844917763457,1.0882449620174,1.02549174930004,0.346159460021965,-0.739884472167343,-0.0295800725483138,0.593865044294567
5,0.49431701082633,-0.322713947068219,0.556704221220159,-0.876519430371773,0.269045279720748,0.339798854690051,-0.0943584697414388,-1.0884630526049,-0.696098365607815,-0.634991545022925,-0.826103709702381,0.0349791554986524,-0.418753846917972,-0.194741044880912,0.419703920325283,0.834380728347331,-0.738997571586376
6,0.601278298735602,-0.221200628154084,0.742485802671058,-0.285124608185928,-0.0898270096438963,0.214040915245583,0.228033795150574,0.00455498190872101,-0.286022262002271,0.449047549693213,0.274141536857147,0.487254584020681,0.354638561842603,0.163815796673047,0.102437133295163,0.294542468111707,0.186679916492968
7,-0.53322170644582,-0.348481594254383,-0.217565420313706,-0.10387335396101,0.26729291008485,-0.139312954448241,-0.20688380178874,0.416839563871682,-0.568807016115193,-0.575800926220734,-0.0709982114826894,-0.622386674740946,0.0360520023863895,-0.0477791459913989,0.428290220402141,-1.25433889792457,1.24108793843545
8,-0.18294210601321,0.286080007256427,0.280920789656714,0.654225766310046,0.173848963465171,0.361977671030207,0.391519800892486,0.516145305797196,0.231563994466724,0.550008962559975,0.395541603376222,-0.492149941055892,0.234267118635348,0.0364674181363455,0.0874783914893773,-0.963155528328133,0.996676891901286
9,0.0381620785060264,0.173128618388843,-0.441833238914481,0.970275157741435,0.266419242235088,0.129767678111892,-0.224866209185162,0.894945388619237,-0.21108670943097,-0.19858521170222,0.091073978553616,0.143119971112332,0.661208681309304,-0.142838586484153,0.350231245124684,-0.517085740549363,0.858361583809271
10,-0.317448039499412,-0.251973609474979,-0.382455807268173,0.864398694628227,-0.306691969352904,0.178390736800345,-0.142726432236041,0.820598727263358,0.100557405688253,0.616587717865036,0.635321589405256,-0.0930426050631826,0.649972832264606,0.175778184486564,-0.578885480692045,-0.920437791357057,0.940609567657409
11,-0.251573512143093,-0.460529416865884,-0.165471146168445,0.6082982157782,0.242069821932195,0.190561886778601,-0.202605254328508,0.610741390844603,-0.444301599469377,0.923136447053451,0.309655531424121,0.0802904843000523,0.717345228006899,-0.0390392638359681,0.104292524147902,-1.02129567656711,1.23091479570069
12,0.419800312694573,0.0259925496308968,-0.0434523076613122,0.39481828903788,-0.27574199752592,0.588478337694178,0.100603304890467,0.898031735472748,1.1149401925122,1.1004978869176,1.07745987074716,1.0154713504868,1.30522348165507,0.855847102309588,-0.753740459074956,-0.723694564625853,0.692157122218376
13,0.0681050381282436,0.521976953997884,-0.0839532414587276,0.0731603908016858,-0.000480548236735731,0.146680263469417,-0.169785325170694,0.0209760083615353,1.06922710514614,0.102891705811311,1.03356260418486,0.839045998871247,1.07434315776033,0.341521241179757,-0.656926932641943,-0.101557700173311,0.437582567039549
