"archetypeID","wwthdr_pc_nat_z","runoff_nonstat_z","tws_nonstat_z","gini_z","connectivity_si_z","e_flow_z","Base_water_stress_z","hydropol_int_z","thrspecies_z","droughthaz_z","mismplastic_z","extremes_damage_z","extremes_affected_z","bod_z","wetlandloss_z","equity_risk_index_nat_z","gov_risk_index_nat_z"
1,1.93720047062539,0.133007924703567,0.674255701668738,-0.35116707530297,-0.447793137525357,0.254746418087556,0.262024899404486,0.155900325230098,-0.033387609606049,1.37678672090838,-0.10217572328587,1.43772550400461,0.1221494161873,-0.157710919126215,-0.495409913489724,0.0119720044219826,-0.593124075805431
2,1.89277564832604,0.37329260908341,0.142507055945351,-0.414262839618758,-0.357779809141201,-0.0324905636882468,-0.0857909491160148,0.0903555692173396,0.846371598269746,-0.545052993144976,0.303958160549551,1.4343357783719,0.403485035263342,-0.0680108559205158,-0.781114305483912,0.0650490973799196,-0.643065908733624
3,0.0989110508982003,0.294709603057044,-0.283046063436689,-1.68967333510378,-0.231571905735129,0.0466273152120891,-0.177711194747842,0.280256799838007,1.26350686059468,-0.378872459887662,0.46690169651377,0.199996702388942,-0.528129371325961,-0.526898673494585,-0.57462360696564,1.04500621442828,-0.930339428001138
4,-0.0350477995689681,0.910977486282009,0.365890464338998,0.115724574319067,-0.158156284889458,0.132988838551595,-0.215619577340294,0.230775441769411,0.785671760524721,-0.239963141517956,1.1303545292439,1.30557797680183,1.34736359934445,0.209563337717696,-1.01776541910505,0.219960020474131,0.475888960437191
5,0.592100335269956,0.950417756376299,1.13569010537828,0.00568249568239832,0.145022779209164,0.345030371863147,0.0679670610124723,1.06884409328467,-0.0434188003670797,0.523765106396399,0.499496404751976,0.559565798750449,0.615751428473173,0.179849775762404,-0.0638049395721393,-0.042744963157143,0.730173328326484
6,-0.108050636934399,1.00696583939433,1.03985749092619,0.574081544188169,-0.40168329500831,0.310181009404118,-0.00397841917106886,-0.46672875850711,-0.249475616247386,1.25618904336324,0.982345205391112,1.36986194462032,1.50695836194802,0.152812654894848,-0.87383763609482,0.058230161723319,0.561565080320422
7,0.330737645343264,-0.00467932198391761,-0.0217396610756026,0.485321158618659,-0.311474336132604,0.617664561456851,0.113187196202023,0.958944735985382,1.26540136954666,1.19040568095034,1.23612342828929,1.03354506660916,1.42688125572334,1.05563364871942,-0.940835740669294,-0.768657588504523,0.805546465353915
8,0.314885437170005,0.275973573360697,-0.635690534594725,0.515786215885654,0.226677073858604,0.103358699030077,-0.248313219256916,-0.641557951294494,0.655325538931795,0.467907763630797,0.741403517470418,0.642909025955213,0.845444743355873,0.067092275702512,-0.0144612612025515,-0.526530638256144,0.662953134861969
9,0.681615089746232,-0.181747850800445,0.126586002109239,0.726256878512694,-0.145694295414083,0.477079337819888,0.205673238399608,0.864737073643202,0.580871305487051,1.28250265563455,0.560196809856817,-0.60672604119461,-0.03322054250421,0.0260342921494662,-1.3839022707398,-0.217506012791417,0.886059440272335
10,-0.884806605127052,0.264173317254842,-0.292675062446451,0.504035482323464,0.297002606840346,0.0472780216717912,-0.284286448351821,0.42092637746763,0.475000581224583,-0.194276509205584,0.713715429841807,-1.16311875364768,-0.767230052521639,0.131246854632592,0.134564510945754,-1.43359332561277,1.27818403620418
